Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Martin Piller,58.51,2018,60.39,28.52,57.74,71.929,371,79.0,292.2
Justin Thomas,58.41,2018,68.77,28.33,62.47,69.118,"2,634",80.0,303.9
Brett Stegmaier,58.38,2018,70.31,29.48,56.44,71.191,149,67.0,295.4
Charley Hoffman,58.34,2018,66.53,29.19,56.22,70.521,515,72.0,305.3
Jason Day,58.32,2018,65.28,28.24,62.35,69.60300000000001,"1,771",75.0,310.0
Bubba Watson,58.27,2018,68.21,29.33,56.64,70.384,"1,879",90.0,313.1
Jason Kokrak,58.06,2018,70.37,29.59,55.11,70.444,700,99.0,309.5
Jhonattan Vegas,57.91,2018,65.17,29.43,58.6,71.275,394,66.0,306.0
Adam Schenk,57.67,2018,67.92,29.95,54.55,71.37,239,66.0,307.2
Stewart Cink,57.6,2018,68.58,29.53,55.69,70.44,758,87.0,298.1
Matt Atkins,57.5,2018,63.46,29.12,57.6,72.251,44,56.0,301.4
Talor Gooch,57.31,2018,63.58,28.94,59.53,71.149,308,78.0,298.9
Bill Haas,57.27,2018,64.79,29.23,60.34,71.028,262,76.0,296.2
J.B. Holmes,57.13,2018,65.26,29.01,57.14,70.789,640,77.0,306.1
Cameron Smith,57.03,2018,63.18,28.36,61.12,70.517,821,85.0,298.4
Tyrone Van Aswegen,56.98,2018,65.23,28.98,58.08,71.243,364,101.0,290.3
Jamie Lovemark,56.92,2018,64.65,28.64,61.07,70.734,576,92.0,303.2
Peter Malnati,56.86,2018,62.99,28.07,61.3,70.84100000000001,226,87.0,290.9
Brooks Koepka,56.85,2018,68.28,28.76,63.28,69.444,"2,012",64.0,313.4
Sung Kang,56.72,2018,63.2,29.24,52.4,71.954,480,89.0,293.1
Scott Stallings,56.57,2018,65.62,29.14,60.86,70.719,470,96.0,299.7
Shawn Stefani,56.52,2018,67.49,29.27,58.43,71.192,268,76.0,299.6
